Sigma_A,Sigma_B,Nash_B_A,Win_Rate_A,Win_Rate_B,Avg_PnL_A,Avg_PnL_Solo,Competitive_Cost
0.1,0.1,1,0.502244,0.497756,0.212519,0.422176,0.209657
0.2,0.1,0.95,0.752675,0.247325,0.301152,0.41992,0.118768
0.3,0.1,0.9,0.885647,0.114353,0.337678,0.420037,0.0823593
0.4,0.1,0.85,0.952612,0.0473882,0.340342,0.420697,0.0803556
0.5,0.1,0.8,0.980893,0.0191065,0.319682,0.421023,0.101341
0.6,0.1,0.75,0.991463,0.00853729,0.286353,0.42123,0.134877
0.7,0.1,0.7,0.996712,0.00328773,0.24493,0.422035,0.177105
0.8,0.1,0.65,0.998584,0.00141603,0.20151,0.421497,0.219987
0.9,0.1,0.6,0.999376,0.000623742,0.155117,0.421766,0.266649
1,0.1,0.55,0.999779,0.000220618,0.107417,0.422332,0.314915
1.1,0.1,0.5,0.99982,0.000180249,0.0588085,0.422656,0.363847
1.2,0.1,0.45,0.99998,2.00152e-05,0.0109297,0.420892,0.409962
1.3,0.1,0.4,1,0,-0.0369114,0.421391,0.458302
1.4,0.1,0.35,0.99996,4.00032e-05,-0.0861475,0.42151,0.507657
1.5,0.1,0.3,1,0,-0.134064,0.420546,0.55461
